Publication,Date,Title,Body,Summary,,,,,,,,
The New York Times,1/23/2015,Daily Report Box Prices Its Offering at  a Share  Online Storage Company Box Has Strong Debut in First Day of Trading  A Scorsese Documentary on Bill Clinton Is Stalled,Box will be valued at  billion when it begins trading on Friday but concerns have been raised within Silicon Valley about the highflying valuations that some technology darlings have fetched recentlyAfter nearly a year of trying the online file storage provider Box is finally set to become a public company But it will begin trading in the face of questions about its future prospects Michael J de la Merced reports  Shares in the online file storage company closed  percent higher than its IPO price surpassing the  billion valuation that it fetched in its most recent private financing roundAlthough questions had arisen about how Box initial public offering would fare public investors gave the company a warm welcome on Friday its first day of trading  Martin Scorsese planned documentary on the nd president has been shelved over disagreements about control people briefed on the project saidMartin Scorsese has tackled the mob the Dalai Lama and the reallife Wolf of Wall Street,Initial Public Offerings Box Inc Silicon Valley Calif  Data Storage Initial Public Offerings Venture Capital Levie Aaron W Box Inc  Movies Clinton Bill Scorsese Martin Documentary Films and Programs Home Box Office,,,,,,,,
The New York Times,1/26/2015,First Order of Business for Greeces Winner Compromise  As Oil Prices Sink BP Freezes Workers Wages  Catalogs After Years of Decline Are Revamped for Changing Times,The radical left party Syriza should be able to reach a deal with Greeces European creditors to avoid bankruptcyThe resounding election victory of the leftist party Syriza has pushed Greece closer to quitting the eurozone But such a departure is still not the most probable outcome because the party should be able to cut a deal with Greece European creditors to avoid default provided both sides are rational  The British oil giant which has  workers said the decision to freeze base pay is a prudent response to the currently challenging market environmentHOUSTON The British oil giant BP announced on Monday that it was freezing the wages of its  workers another sign that oil companies are being forced to cut back in the face of collapsing oil prices  Retailers are still relying on direct mail even as they spend resources on improving their websites to accommodate the increase of online shoppersIn this digital age when filling a shopping cart requires little more than clicking on a screen the printed retail catalog keeps vying for a place on the coffee table,Greece European Sovereign Debt Crisis  European Commission European Central Bank International Monetary Fund  BP Plc Wages and Salaries Oil Petroleum and Gasoline Prices Fares Fees and Rates  Shopping and Retail Advertising and Marketing ECommerce JC Penney Company Inc ANTHROPOLOGIE Lands End Inc Patagonia Inc Pottery Barn,,,,,,,,
The New York Times,1/27/2015,Helena Morrissey Aiming at Britain Glass Ceilings Gets Results,The fund chief executive campaign to put women on British boards has succeeded by concentrating on corporate leaders and on company returnsLONDON Suggest to Helena Morrissey that she is Britain version of Sheryl Sandberg and she smiles politely,Boards of Directors Corporations Women and Girls Morrissey Helena Great Britain,,,,,,,,
The New York Times,1/28/2015,Using Smartphones and Apps to Enhance Loyalty Programs  US Strengths Buoy Consumers but Hurt Corporations With Business Abroad,Small businesses can now target specific customers influence their behavior and keep track of the results while offering better rewardsNearly as long as there have been coffee shops and carwashes all manner of businesses have handed out buygetonefree punch cards and hoped to reap the rewards of this simplest of loyalty marketing campaigns But a new day is dawning  A growing number of big American multinational companies have begun to suffer from lower oil prices and a strong dollarWhat is good for the American consumer may be less so for big American companies,Mobile Applications Small Business Customer Relations Customer Loyalty Programs Advertising and Marketing Capriottis Sandwich Shop Inc  Dow Jones Stock Average European Sovereign Debt Crisis  International Trade and World Market Nasdaq Composite Index Standard  Poors Stock Index Stocks and Bonds United States Economy US Dollar Currency,,,,,,,,
The New York Times,1/29/2015,Alibaba Lesson in Government Relations  Chevron and BP in Deal to Search for Oil Deep Beneath the Gulf of Mexico  Nickelodeon to Offer a Streaming Service as Viacom Steps Up Digital Efforts ,Alibaba runin with a Chinese regulator serves as a reminder that there is no such thing as a good relationship with China government John Foley of Reuters Breakingviews writesAlibaba is teaching its shareholders a useful lesson about Chinese business There is no such thing as having a good relationship with the government The company shares fell  percent on Wednesday after a regulator lambasted its sales habits Alibaba says the State Administration for Industry and Commerce is being irrational That is little comfort to investors who on paper are now  billion worse off  The joint effort is a reflection of the pressure on oil companies to hold down spending and share risk as oil prices continue to dropLONDON Chevron and BP said on Wednesday that they would work together to explore appraise and possibly develop  offshore leases in a deepwater part of the Gulf of Mexico known as the lower tertiary  The subscription service to be offered by the children programming group joins a growing number of similar offerings from other television groupsNickelodeon the entertainment group focused on children programming said on Thursday that it would start a new subscription streaming service in March that will be available outside traditional cable or satellite television packages,Initial Public Offerings Regulation and Deregulation of Industry Li Keqiang Ma Jack Alibaba Group Holding Ltd State Administration for Industry and Commerce China China  Chevron Corporation BP Plc Oil Petroleum and Gasoline Gulf of Mexico Oil Spill  Gulf of Mexico  Nickelodeon Viacom Inc Company Reports Television Media,,,,,,,,
The New York Times,1/30/2015,Law Firm Founds Project to Fight Revenge Porn  Many GMOFree Labels Little Clarity Over Rules  Offshore Wind Farm Leases Draw Few Bids From Wary Industry,KL Gates has set up the Cyber Civil Rights Legal Project to fight the shameposting of sexual photos and videos online by jilted loversA California law student and a Virginia man dated for about six months after meeting through an online dating service The fallout from the breakup however has gone on far longer as the former boyfriend faces federal criminal charges over posting nude selfies and a sexually explicit video of the woman on pornographic websites  Products described as not containing genetically modified organisms whether that statement has been verified or not are increasingly appearing in storesFew industry debates are as heated these days as the one about labeling foods that contain genetically modified ingredients  Wind Farm projects off the coast of New England New Jersey and Delaware are dead moribund or strugglingNot too long ago in  the Obama administration began auctioning off leases for offshore wind farms up and down the Eastern Seaboard hoping to spur a nascent industry,Cyberharassment Dating and Relationships Law and Legislation Pornography Suits and Litigation Civil KL Gates LLP  Labeling and Labels Genetic Engineering Food Supermarkets and Grocery Stores Food and Drug Administration Regulation and Deregulation of Industry Lobbying and Lobbyists Agriculture and Farming  Cardwell Diane Wind Power Alternative and Renewable Energy Auctions Massachusetts,,,,,,,,
The New York Times,2/2/2015,There is no available news today,No news articles available,Summary information is not provided,,,,,,,,
The New York Times,2/3/2015,There is no available news today,No news articles available,No noteworthy summary for today,,,,,,,,
The New York Times,2/4/2015,Giving Drone Industry Leeway to Innovate,The Federal Aviation Administration is considering new rules for drones but some say imposing broad limitations could quash the technology moving innovation overseasWhen a small drone slipped free from its operator one morning last week and flew into the Washington sky evading radar and the best defenses of the United States Secret Service to end up a sorry wreck on the White House lawn the incident seemed to crystallize the fear that many harbor about a future dominated by aerial machines,Drones Pilotless Planes Regulation and Deregulation of Industry Federal Aviation Administration,,,,,,,,
The New York Times,2/5/2015,Business Books Reveal a Billionaire Obsession  Daily Report FCC Proposes Strong Rules to Regulate the Web  Interpublic Adds New Directors Settling Fight With Elliott  Offer for Canary Wharf Owner Has Enough Support to Proceed,Everyone may want to be rich but two new titles have different approaches and advice on how to achieve success writes Jonathan A Knee in the Book Entry review columnWho wants to be a billionaire Everyone it seems and not always to good effect  The proposal would create legal authority to ensure that no content is blocked and that the Internet is not divided into fast and slow lanesFor the last year Tom Wheeler chairman of the Federal Communications Commission has been working on new rules to ensure socalled net neutrality or an open Internet Over that time his hints and comments have shown a steady shift toward stronger regulation and a more direct confrontation with the cable television and telecommunications companies that provide highspeed Internet service to most American homes Steve Lohr reports  The advertising conglomerate home to McCann and FCB said that two of its board members would retire and be succeeded by three new directors including a former chief executive of AOL and a corporate turnaround veteranThe Interpublic Group the home of advertising agencies like McCann and FCB said on Thursday that it would shake up its board part of a settlement with the  billion activist hedge fund Elliott Management  Investors holding more than  percent of the outstanding shares of Songbird Estates have agreed to accept the  billion takeover offer by the Qatar Investment Authority and Brookfield Property PartnersLONDON  Qatar sovereign wealth fund and Brookfield Property Partners said on Thursday that they had received enough support from investors to move ahead with their  billion offer for the owner of the Canary Wharf office and retail development,Books and Literature Corporations Entrepreneurship Innovation Cohen Mitchell D Diamandis Peter H Kotler Steven Sviokla John J PricewaterhouseCoopers  Computers and the Internet Net Neutrality Regulation and Deregulation of Industry Federal Communications Commission  Advertising and Marketing Appointments and Executive Changes Boards of Directors Shareholder Rights and Activism Elliott Management Corp Interpublic Group of Companies Inc  Mergers Acquisitions and Divestitures Real Estate Commercial Shopping and Retail Sovereign Wealth Funds Stocks and Bonds Brookfield Property Partners LP Canary Wharf Group Plc Franklin Mutual Advisers Qatar Investment Authority Songbird Estates PLC London England,,,,,,,,
The New York Times,2/6/2015,Merger of CIT and OneWest Faces Additional Scrutiny,Banking regulators have scheduled a public hearing for later this month to collect information as part of their review of OneWest performance under the Community Reinvestment ActThe proposed merger of OneWest Bank and the CIT Group faces a new and somewhat rare regulatory hurdle,There is no available news today,,,,,,,,
The New York Times,2/9/2015,Twitter Reports a Surge in Government Data Requests,The report said total government requests for data rose by  percent to about  compared with the company last report in JulyTwitter on Monday released its twiceyearly transparency report showing a surge in government requests for users Twitter information ,Social Media Surveillance of Citizens by Government National Security Agency Twitter,,,,,,,,
The New York Times,2/10/2015,Nothing notable in the news,No significant updates to report,Summary information is not provided,,,,,,,,
The New York Times,2/11/2015,Karate Means Empty Hand but a Handheld Device Is Needed  Microsoft Continues Mobile Push With Sunrise Acquisition,These apps offer video photos and written instructions to train aspiring martial artistsLEARNING a martial art is a true challenge both mentally and physically because there is so much to master and remember Turning to an app for help might not seem like an obvious course but many apps do provide worthwhile support  The company has acquired Sunrise Atelier maker of the popular Sunrise calendar app for iOS Android and Mac The companies are not disclosing the sale priceMicrosoft has again turned outside the company to bolster its mobile app offerings ,Mobile Applications Martial Arts  Android Operating System Computers and the Internet EMail Google Phone iOS Operating System Mergers Acquisitions and Divestitures Mobile Applications Software Acompli Inc Microsoft Corporation Sunrise Atelier Inc,,,,,,,,
The New York Times,2/12/2015,No breaking news to report today,No significant updates to report,No noteworthy summary for today,,,,,,,,
The New York Times,2/13/2015,Costco Customers May Come Out Ahead in Amex Divorce  Mic News Director Is Fired After Plagiarism Accusations  Love in the Time of Twitter  Making Brokers Toe the Mark ,Severing an exclusive deal with the warehouse retailer has swiped some  billion in market value from the card company Gains at MasterCard and Visa offset only part of that note Rob Cox and Stephanie Rogan of Reuters BreakingviewsTrue to form Costco customers may come out ahead in a valuable commercial arrangement That at least one way to read the market tea leaves from this week divorce between the warehouse retailer and American Express its longtime exclusive payments partner  In some cases material was republished with no credit at all while other articles made passing reference to outside sources but failed to give proper credit when passages were taken verbatim or with minor changesIn the latest plagiarism scandal in journalism Mic a news site intended for the socalled millennial generation has fired its news director after numerous examples surfaced showing that he had lifted material from other sources without proper attribution  Computer scientists study Twitter to try to understand how people change their use of social media as they make major life changes like getting engaged or divorcedBefore she got engaged a couple years ago Lisa Sokolowski a blogger in Leland NC rarely mentioned her boyfriend on her regular Twitter account  The financial services industry is marshaling opposition to the proposed regulation which has been percolating for years in the Labor DepartmentIf you are in the market for financial advice good luck figuring out which financial advisers are legally obligated to act in your best interest There is a big difference between glorified salesman and true investment advisers and yet the onus is on consumers to sort it all out,Credit Cards Shopping and Retail Chenault Kenneth I AMERICAN EXPRESS COMPANY Costco Wholesale Corporation MasterCard Inc Visa Inc  Mic Network Inc Plagiarism Keller Jared News and News Media Gawkercom Reuters Group PLC Vox Media Inc Atlantic Monthly  Social Media Weddings and Engagements Twitter  Consumer Protection Bernard Tara Siegel Banking and Financial Institutions Pensions and Retirement Plans Financial Planners Individual Retirement Accounts k b and  Plans,,,,,,,,
The New York Times,2/16/2015,Japan Economy Expands but Less Than Expected  Daily Report Two StartUps Offer Calls Via WiFi First,Japan economy expanded at an annualized rate of  percent in the final quarter of  less than the  percent many experts had predictedTOKYO Japan emerged from recession at the end of  government data showed on Monday though the economic growth the country first since early last year was weaker than experts had forecast  Two companies are trying to lower cellphone costs by relying on WiFi routers Now some of the bigger companies are looking to follow their lead It would not be an insult to say Republic Wireless and FreedomPop are obscure little companies But they dream big Brian Chen reportsThe two companies are at the forefront of a tantalizing wireless communications concept that has proved hard to produce on a big scale Reduce cellphone costs by relying on strategically placed WiFi routers And when there are no routers available fall back on the traditional cellular network Read more ,Japan Recession and Depression ABE SHINZO Yen Currency Economic Conditions and Trends Bank of Japan  Cellular Telephones Wireless Communications FreedomPop Republic Wireless,,,,,,,,
The New York Times,2/17/2015,Canadian Rail Strike Ends as Parties Agree to Arbitration ,With the return to the bargaining table Canadian Pacific Railway said it had begun the rampup process to resume train serviceOTTAWA A strike by about  locomotive engineers and conductors at the Canadian Pacific Railway unexpectedly ended on Monday its second day as both sides agreed to arbitration The announcement came about half an hour before a bill was to be introduced in Parliament ordering the members of the union the Teamsters Canada Rail Conference back to work ,Strikes Canadian Pacific Railway Co Railroads Canada Harrison E Hunter Organized Labor,,,,,,,,
The New York Times,2/18/2015,There is no available news today,No significant updates to report,No noteworthy summary for today,,,,,,,,
The New York Times,2/19/2015,High Antitrust Hurdle for Merger of Can Makers,Ball deal for Rexam is financially sound but there are doubts it will go throughRexam wants to go to the ball but trustbusters might ruin the party,Mergers Acquisitions and Divestitures Rexam PLC Ball Corporation Antitrust Laws and Competition Issues,,,,,,,,
The New York Times,2/20/2015,Luxury Cars Imprint Their Brands on Goods From Cologne to Clothing  Man Group to Buy LondonBased Investment Manager,Upscale automakers have been affixing their aspirational logos to nonautomotive products as a way of protecting brands and cultivating loyaltyEver since he was a child Rodney Foster has coveted all things Bentley  The agreement to acquire NewSmith which also has offices in Tokyo is the latest move in a flurry of acquisitions by the British hedge fund companyLONDON The British hedge fund company Man Group continued its recent spending spree on Friday reaching a conditional agreement to acquire the investment management business of NewSmith Terms of the deal were not disclosed,Luxury Goods and Services Automobiles Bentley Motors Ltd Porsche AG New York Fashion Week Advertising and Marketing Trademarks and Trade Names General Motors Shopping and Retail Fashion and Apparel  Mergers Acquisitions and Divestitures Hedge Funds Man Group Stocks and Bonds Numeric Holdings LLC Mitsui Trust Bank Pine Grove Asset Management LLC Merrill Lynch  Co Bank of America Corporation London England Japan,,,,,,,,
The New York Times,2/23/2015,Bill OReilly Fox News Host Fights Back at Claims of Exaggerated Stories  HSBC Profit Drops Sharply Amid Tax Backlash  British Government Sells More of Its Stake in Lloyds Banking Group,After Mother Jones published an article that said Mr OReilly had misrepresented stories about his war reporting he called the claims against him a political hit jobThe Fox News host Bill OReilly has taken to the airwaves to fight back against accusations that he misled audiences with stories about his war reporting earlier in his career  The bank has again apologized for what it described as conduct and compliance failures in its Swiss unit and said it had overhauled its private banking businessLONDON The British bank HSBC said on Monday that profit fell  percent in  adding to the lender challenges as it continues to reel from revelations about efforts by its Swiss private banking arm to help wealthy clients evade taxes  Britain cut its stake to  percent as part of a prearranged trading plan with Morgan Stanley that is set to run through the end of JuneLONDON The British government has further reduced its stake in the Lloyds Banking Group the bank said on Monday,OReilly Bill Fox News Channel Mother Jones News and News Media Falkland Islands El Salvador Television Williams Brian NBC News  Company Reports HSBC Holdings PLC Gulliver Stuart T Great Britain Hong Kong Far East South and Southeast Asia and Pacific Areas Tax Evasion  Banking and Financial Institutions Lloyds Banking Group Plc Prudential Regulation Authority Great Britain Great Britain Royal Bank of Scotland PLC,,,,,,,,
The New York Times,2/24/2015,Pebble Watch Goes Color on Kickstarter,Pebble the maker of a popular smartwatch went back to its roots when it unveiled a new color watch called Pebble TimeWhen Apple unveiled the Apple Watch last year the company chose to do so in the same spaceit showed off the Macintosh computer  years earlier,Philanthropy Watches and Clocks Wearable Computing Kickstarter Pebble Technology,,,,,,,,
The New York Times,2/25/2015,Germany Sells FiveYear Debt at Negative Yield,The milestone comes as the European Central Bank prepares to begin quantitative easingBERLIN The German government sold fiveyear notes at a negative yield for the first time in its history on Wednesday,Germany Government Bonds European Central Bank Quantitative Easing European Sovereign Debt Crisis  Bundesbank Eurozone,,,,,,,,
The New York Times,2/26/2015,Google Puts European Operations Under a Single Executive  With Revamped Gold Cards Bruised American Express Returns Focus to Affluent,Google which is facing various regulatory issues in Europe has consolidated the region operations under a single executiveLONDON Matt Brittin a former Olympic rower has become Google man in Europe  The company seeking to reinvigorate its brand after some setbacks plans to enhance the benefits of its popular gold card but also raise the feesAmerican Express bruised by the recent loss of two major partnerships and an important court case is seeking to reinvigorate its brand by sweetening the rewards on one of its most popular lines of cards,Android Operating System Antitrust Laws and Competition Issues Appointments and Executive Changes Computers and the Internet Privacy Regulation and Deregulation of Industry European Commission Google Inc Europe Ireland  Credit Cards AMERICAN EXPRESS COMPANY,,,,,,,,
The New York Times,2/27/2015,Kobalt Music Services Company to Announce  Million in New Investment  The Rhythm of Great Performance  Mutual Suspicion Mars Tech Trade With China,The company which handles music publishing rights will use the money to expand its extensive datatracking systemOne result of the spread of digital music around the world is an explosion in the amount of data generated from all those billions of clicks and streams and a resulting need to follow all this information accurately  One productivity tip Focus in the most absorbed way possible when you are working and then take a break at least every  minutesFor nearly  years Ive been making the case in my writing and with corporate clients that employees can be more productive by working fewer hours and taking more time for rest and renewal during the work day  With China and the United States wary of the other digital espionage American tech companies are caught in the middleBEIJING At an elegant guesthouse here recently China top Internet regulator entertained ambassadors and diplomats with platters of tempura and roast on a spit unusual lavishness in an era of official austerity in China to celebrate the Chinese New Year,Kobalt Music Group Ltd Music Venture Capital Ahdritz Willard  Sleep Productivity Fatigue Kahneman Daniel  China Espionage and Intelligence Services International Trade and World Market Froman Michael B United States International Relations Cyberwarfare Protectionism Trade United States,,,,,,,,
The New York Times,3/2/2015,Qualcomm and Intel to Introduce New Biometric Security Technology  Saving Big on Energy Bills People Take It to the Bank  China Long Food Chain Plugs In ,Qualcomm has a new fingerprint reading technology that it hopes can eventually replace passwords both for devices and appsOur long password nightmare may be coming to an end  Energy prices began falling last summer but economists are stumped on what consumers are doing with the extra money Theyre not shoppingSometimes even the supposed experts can lose track of a billion dollars or two Or in this case  billion  The country sprawling supply chain has challenged governmental efforts to ensure quality and so its tech giants are working to provide shoppers with useful toolsHONG KONG The smartphone tells the story of a kiwi fruit in China,Biometrics Cellular Telephones Computer Chips Computer Security Identification Devices Sensors Intel Corporation Qualcomm Inc  United States Economy Savings Consumer Behavior Oil Petroleum and Gasoline Shopping and Retail Labor and Jobs  China Food Contamination and Poisoning Stevenson Alexandra Agriculture and Farming Computers and the Internet DataMining and Database Marketing Hazardous and Toxic Substances,,,,,,,,
The New York Times,3/3/2015,No breaking news to report today,No significant updates to report,No noteworthy summary for today,,,,,,,,
