Publication,Date,Returns,Price,Open,High,Low,Vol.,Change %,econTsentiment,econBsentiment,econSusentiment,econEntsentiment,econVerbtsentiment,econAdjtsentiment,econAdverbtsentiment,econStoptsentiment,econBigtsentiment,econUnigtsentiment,econTrigtsentiment,SimAverageSent
The Economist,9/11/2023,-0.0215,"8,146.49","8,385.55","8,403.81","8,127.07",5.4,-2.15%,5,1,1,1,1,5,5,5,1,2,2,2.318181818
The Economist,9/8/2023,-0.0015,"8,325.30","8,371.33","8,398.44","8,295.67",4.86,-0.15%,1,1,1,4,3,3,4,1,1,2,1,2.318181818
The Economist,9/7/2023,0.0191,"8,337.67","8,218.47","8,358.03","8,218.47",5.1,1.91%,1,5,5,1,1,1,2,5,1,1,1,2.090909091
The Economist,9/6/2023,-0.0066,"8,181.67","8,291.55","8,298.54","8,127.88",5.98,-0.66%,5,1,1,1,1,5,5,5,2,2,2,2.454545455
The Economist,9/5/2023,0.0116,"8,236.14","8,161.14","8,236.14","8,090.21",5.55,1.16%,5,3,3,1,1,5,5,5,4,2,4,3.090909091
The Economist,9/4/2023,0.0106,"8,141.33","8,141.33","8,238.89","8,126.01",5.21,1.06%,1,1,1,4,3,3,4,1,1,2,1,2.727272727
The Economist,9/1/2023,0.0175,"8,056.12","7,966.65","8,060.92","7,930.09",4.23,1.75%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,8/31/2023,0.0014,"7,917.93","7,964.48","8,005.82","7,880.56",4.42,0.14%,1,2,2,1,1,1,2,5,2,2,1,1.909090909
The Economist,8/29/2023,-0.0044,"7,907.13","7,963.44","8,013.52","7,865.58",4.69,-0.44%,5,3,3,4,1,5,2,1,2,2,2,2.272727273
The Economist,8/28/2023,0.0292,"7,941.73","7,837.07","8,008.78","7,837.07",5.49,2.92%,1,1,1,1,1,1,2,5,1,1,1,2.090909091
The Economist,8/25/2023,0.03,"7,716.67","7,545.17","7,747.64","7,407.94",4.83,3.00%,1,1,1,4,3,3,4,1,1,2,1,1.727272727
The Economist,8/24/2023,-0.0145,"7,491.94","7,648.30","7,872.81","7,476.31",8.17,-1.45%,1,5,5,1,5,5,1,5,1,3,1,2.5
The Economist,8/23/2023,-0.0218,"7,602.24","7,820.40","7,831.97","7,602.24",5.85,-2.18%,5,4,4,1,5,5,5,5,2,2,2,3.318181818
The Economist,8/22/2023,-0.0033,"7,771.30","7,856.15","7,902.95","7,691.26",5.03,-0.33%,1,1,1,4,1,2,4,5,1,2,1,2.863636364
The Economist,8/21/2023,0.0377,"7,796.65","7,446.35","7,820.08","7,411.52",5.51,3.77%,1,1,1,4,3,3,4,1,1,2,1,2.045454545
The Economist,8/18/2023,-0.0323,"7,513.29","7,803.71","7,815.83","7,424.04",4.98,-3.23%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,8/17/2023,0.0133,"7,764.47","7,675.06","7,798.61","7,633.13",4.73,1.33%,1,2,2,1,1,5,3,5,1,1,2,2.090909091
The Economist,8/16/2023,-0.0037,"7,662.26","7,685.25","7,734.41","7,588.91",5.2,-0.37%,1,1,1,4,1,5,3,5,2,2,2,2.318181818
The Economist,8/15/2023,-0.006,"7,690.75","7,763.70","7,794.94","7,550.30",4.98,-0.60%,1,1,1,4,3,3,4,1,1,2,1,2.227272727
The Economist,8/14/2023,0.003,"7,737.38","7,795.01","7,868.74","7,681.27",5.48,0.30%,2,1,1,1,1,1,2,5,1,1,1,1.772727273
The Economist,8/11/2023,0.0367,"7,714.38","7,453.42","7,720.97","7,397.63",5.21,3.67%,1,1,1,4,3,3,4,1,1,2,1,1.772727273
The Economist,8/10/2023,-0.0209,"7,441.50","7,652.36","7,766.12","7,398.48",7.27,-2.09%,1,3,3,1,1,2,2,5,1,1,1,1.954545455
The Economist,8/9/2023,0.0254,"7,600.65","7,423.11","7,644.59","7,367.03",5.89,2.54%,1,1,1,4,3,3,4,1,1,2,1,1.954545455
The Economist,8/8/2023,-0.0078,"7,412.20","7,495.65","7,504.38","7,359.49",4.51,-0.78%,5,2,2,5,1,5,5,5,2,1,2,2.590909091
The Economist,8/7/2023,0.0094,"7,470.10","7,434.53","7,493.87","7,399.02",3.82,0.94%,3,1,1,5,1,1,1,5,2,2,2,2.681818182
The Economist,8/4/2023,0.0248,"7,400.57","7,256.57","7,427.10","7,205.35",4.3,2.48%,1,1,1,4,3,3,4,1,1,2,1,2.090909091
The Economist,8/3/2023,-0.0051,"7,221.51","7,296.00","7,365.61","7,200.81",5.12,-0.51%,1,1,1,5,1,1,5,5,1,1,1,2.045454545
The Economist,8/2/2023,0.0126,"7,258.54","7,180.08","7,336.11","7,174.64",5.35,1.26%,1,1,1,4,3,3,4,1,1,2,1,2.045454545
The Economist,8/1/2023,-0.0067,"7,168.51","7,209.59","7,296.57","7,113.31",5.81,-0.67%,5,1,1,5,1,1,1,5,1,1,1,2.045454545
The Economist,7/31/2023,0.0212,"7,216.96","7,143.14","7,256.61","7,117.09",6.52,2.12%,1,1,1,4,3,3,4,1,1,2,1,2.045454545
The Economist,7/28/2023,0.0308,"7,067.28","6,925.41","7,096.99","6,912.00",6.45,3.08%,5,1,1,1,1,1,5,5,1,1,1,2.045454545
The Economist,7/27/2023,0.0166,"6,856.11","6,799.44","6,856.11","6,766.32",5.26,1.66%,1,2,2,5,1,1,2,5,1,2,1,2.090909091
The Economist,7/26/2023,0.021,"6,743.86","6,606.21","6,744.37","6,583.47",4.65,2.10%,1,1,1,1,1,5,2,5,3,2,3,2.181818182
The Economist,7/25/2023,-0.0135,"6,605.04","6,721.45","6,724.52","6,538.29",4.85,-1.35%,1,1,1,3,1,5,5,5,2,2,1,2.363636364
The Economist,7/24/2023,0.0011,"6,695.14","6,730.03","6,807.95","6,626.30",5.18,0.11%,1,1,1,4,3,3,4,1,1,2,1,2.227272727
The Economist,7/21/2023,0.0008,"6,687.78","6,688.10","6,724.42","6,617.69",4.73,0.08%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,7/20/2023,0.0169,"6,682.11","6,633.44","6,700.36","6,518.85",5.59,1.69%,2,2,2,1,1,5,1,5,3,1,4,2.227272727
The Economist,7/19/2023,0.0324,"6,571.28","6,370.27","6,572.33","6,299.57",4.21,3.24%,3,2,2,1,1,1,2,5,1,2,1,2.181818182
The Economist,7/18/2023,-0.0357,"6,365.00","6,636.70","6,662.17","6,362.68",5.16,-3.57%,1,1,1,4,3,3,4,1,1,2,1,1.954545455
The Economist,7/17/2023,0.0253,"6,600.46","6,501.80","6,603.98","6,476.61",4.37,2.53%,1,3,3,1,1,1,3,5,2,2,2,2.090909091
The Economist,7/14/2023,0.0109,"6,437.74","6,415.52","6,446.01","6,353.91",3.42,1.09%,1,1,1,4,3,3,4,1,1,2,1,2.090909091
The Economist,7/13/2023,0.0041,"6,368.35","6,354.92","6,436.83","6,315.43",5.23,0.41%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,7/12/2023,-0.0033,"6,342.05","6,360.70","6,410.61","6,287.37",5.76,-0.33%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,7/11/2023,0.0148,"6,362.93","6,371.22","6,386.84","6,234.51",5.5,1.48%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,7/10/2023,0.0135,"6,270.41","6,264.34","6,290.34","6,228.19",4.12,1.35%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,7/7/2023,0.0075,"6,187.09","6,139.81","6,223.26","6,117.06",3.66,0.75%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,7/6/2023,0.0056,"6,141.14","6,135.31","6,207.85","6,124.23",4.11,0.56%,1,1,1,1,1,1,2,5,2,1,1,1.772727273
The Economist,7/5/2023,0.0171,"6,106.76","6,026.12","6,121.60","5,889.87",4.05,1.71%,4,2,2,1,1,1,3,5,1,2,2,1.863636364
The Economist,7/4/2023,-0.0019,"6,003.90","6,049.69","6,076.72","5,980.08",4.77,-0.19%,1,1,1,1,1,1,1,5,2,2,1,1.863636364
The Economist,7/3/2023,0.0445,"6,015.29","5,867.23","6,018.29","5,867.23",3.73,4.45%,1,1,1,4,3,3,4,1,1,2,1,1.772727273
The Economist,6/27/2023,0.0046,"5,759.11","5,725.06","5,766.58","5,692.86",1.23,0.46%,4,1,1,4,3,4,4,1,1,1,1,2.136363636
The Economist,6/26/2023,0.0269,"5,732.86","5,644.33","5,749.66","5,632.06",2.82,2.69%,5,1,1,3,1,5,5,5,1,2,1,2.5
The Economist,6/23/2023,0.0285,"5,582.75","5,509.76","5,593.99","5,478.93",3.4,2.85%,1,1,1,4,3,3,4,1,1,2,1,2.363636364
The Economist,6/22/2023,0.0465,"5,428.26","5,200.23","5,434.61","5,152.81",3.8,4.65%,2,2,2,5,1,2,5,5,1,1,1,2.227272727
The Economist,6/21/2023,-0.0123,"5,186.83","5,280.54","5,329.36","5,169.60",2.28,-1.23%,1,1,1,4,3,3,4,1,1,2,1,2.227272727
The Economist,6/20/2023,-0.0034,"5,251.61","5,265.04","5,315.50","5,200.33",2.77,-0.34%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,6/19/2023,-0.0377,"5,269.31","5,485.47","5,485.47","5,269.08",2.64,-3.77%,1,2,2,3,1,1,4,5,1,2,1,2.045454545
The Economist,6/16/2023,-0.0036,"5,475.48","5,518.51","5,566.11","5,467.01",2.96,-0.36%,1,1,1,4,3,3,4,1,1,2,1,2.045454545
The Economist,6/15/2023,0.0251,"5,495.48","5,397.75","5,495.48","5,378.25",2.79,2.51%,2,1,1,1,5,2,5,5,1,1,1,2.136363636
The Economist,6/14/2023,-0.0126,"5,360.77","5,437.14","5,490.89","5,322.01",3.56,-1.26%,1,1,1,4,3,3,4,1,1,2,1,2.136363636
The Economist,6/13/2023,-0.0286,"5,429.05","5,568.10","5,595.19","5,392.80",3.28,-2.86%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,6/12/2023,-0.0067,"5,588.98","5,673.76","5,730.19","5,588.98",3.34,-0.67%,5,2,2,5,1,2,5,5,1,2,1,2.409090909
The Economist,6/9/2023,0.0131,"5,626.49","5,603.48","5,639.23","5,535.01",3.37,1.31%,1,1,1,4,3,3,4,1,1,2,1,2.409090909
The Economist,6/8/2023,-0.0013,"5,554.00","5,549.81","5,593.59","5,458.76",3.58,-0.13%,1,1,1,1,1,1,5,5,1,3,1,1.954545455
The Economist,6/7/2023,0.032,"5,561.18","5,515.87","5,608.84","5,515.87",5.14,3.20%,5,1,1,5,5,5,5,5,1,2,1,2.590909091
The Economist,6/6/2023,0.003,"5,388.80","5,372.37","5,439.89","5,314.51",3.47,0.30%,1,1,1,4,3,3,4,1,1,2,1,2.636363636
The Economist,6/5/2023,0.0504,"5,372.66","5,233.23","5,374.58","5,204.48",3.99,5.04%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,6/2/2023,0.0313,"5,114.97","5,102.56","5,146.70","5,051.35",3.86,3.13%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,6/1/2023,0.0149,"4,959.80","4,928.63","5,007.07","4,928.63",2.6,1.49%,1,1,1,1,1,2,5,5,1,1,1,1.909090909
The Economist,5/31/2023,-0.013,"4,886.91","4,956.26","4,982.45","4,867.95",3.95,-1.30%,5,5,5,1,5,5,2,5,5,2,4,2.909090909
The Economist,5/30/2023,0.0383,"4,951.35","4,840.44","4,972.76","4,830.78",4.37,3.83%,1,1,1,4,3,3,4,1,1,2,1,3
The Economist,5/29/2023,0.041,"4,768.56","4,696.17","4,799.98","4,622.26",3.19,4.10%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,5/26/2023,0.0345,"4,580.67","4,442.24","4,605.29","4,436.91",2.58,3.45%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,5/25/2023,0.0007,"4,427.99","4,440.36","4,471.46","4,404.09",1.81,0.07%,5,2,2,2,1,1,2,5,3,2,3,2.272727273
The Economist,5/24/2023,-0.0103,"4,424.92","4,476.91","4,524.13","4,416.18",1.93,-1.03%,1,3,3,4,1,5,2,5,1,2,1,2.545454545
The Economist,5/23/2023,0.0011,"4,470.97","4,467.34","4,499.32","4,436.49",1.93,0.11%,5,4,4,5,1,5,5,5,1,1,3,3.045454545
The Economist,5/22/2023,-0.0079,"4,466.19","4,532.60","4,556.78","4,415.66",2.32,-0.79%,1,1,1,4,3,4,4,1,1,1,1,2.772727273
The Economist,5/18/2023,-0.0343,"4,501.73","4,681.71","4,699.95","4,489.06",2.64,-3.43%,1,2,2,1,1,5,1,5,1,3,2,2.090909091
The Economist,5/17/2023,0.0157,"4,661.68","4,605.61","4,680.86","4,599.79",2.91,1.57%,5,2,2,1,1,1,1,5,1,2,2,2.136363636
The Economist,5/16/2023,0.0197,"4,589.71","4,405.99","4,589.71","4,405.99",4.03,1.97%,1,1,1,4,3,3,4,1,1,2,1,2.045454545
The Economist,5/15/2023,-0.0614,"4,501.21","4,489.58","4,700.01","4,475.45",2.38,-6.14%,5,1,1,4,3,4,4,1,1,1,1,2.181818182
The Economist,5/12/2023,-0.0108,"4,795.61","4,897.32","4,982.86","4,758.14",3.66,-1.08%,1,1,1,4,3,3,4,1,1,2,1,2.181818182
The Economist,5/11/2023,0.0787,"4,848.01","4,492.19","4,871.83","4,492.19",4.35,7.87%,1,2,2,1,1,5,5,5,2,3,2,2.318181818
The Economist,5/10/2023,-0.0092,"4,494.48","4,544.48","4,554.94","4,485.83",2.31,-0.92%,1,1,1,4,3,4,4,1,1,1,1,2.318181818
The Economist,5/9/2023,-0.0056,"4,536.20","4,547.21","4,622.07","4,513.31",2.91,-0.56%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,5/8/2023,0.0366,"4,561.94","4,433.26","4,577.73","4,374.14",2.27,3.66%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,5/5/2023,-0.0186,"4,400.76","4,481.40","4,496.09","4,378.29",1.42,-1.86%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,5/4/2023,-0.0004,"4,484.35","4,470.23","4,577.73","4,447.53",1.73,-0.04%,1,1,1,4,3,4,4,1,1,1,1,2
The Economist,5/3/2023,-0.0045,"4,485.97","4,517.38","4,534.53","4,311.41",2.06,-0.45%,1,1,1,1,1,1,5,5,1,1,1,1.863636364
The Economist,5/2/2023,-0.0242,"4,506.24","4,628.36","4,660.31","4,499.01",1.76,-2.42%,1,1,1,4,3,3,4,1,1,2,1,1.863636364
The Economist,4/28/2023,-0.0358,"4,617.93","4,799.51","4,808.50","4,578.14",1.77,-3.58%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,4/27/2023,0.0013,"4,789.63","4,777.51","4,831.42","4,750.50",1.9,0.13%,1,1,1,1,1,1,1,5,3,3,1,1.863636364
The Economist,4/26/2023,-0.022,"4,783.50","4,885.94","4,901.39","4,749.11",1.92,-2.20%,4,1,1,5,1,1,3,5,1,1,1,1.954545455
The Economist,4/25/2023,-0.0262,"4,891.01","5,034.07","5,042.08","4,881.03",2.03,-2.62%,5,2,2,4,1,5,5,5,3,1,2,2.681818182
The Economist,4/24/2023,0.0021,"5,022.79","5,022.51","5,076.41","5,010.25",1.68,0.21%,1,1,1,4,3,3,4,1,1,2,1,2.590909091
The Economist,4/20/2023,-0.0097,"5,012.34","5,037.42","5,037.46","4,997.53",1.05,-0.97%,3,4,4,1,1,1,2,5,1,1,1,2.090909091
The Economist,4/19/2023,0.0085,"5,061.22","5,026.36","5,093.06","4,975.48",2.12,0.85%,1,4,4,5,1,5,2,5,2,2,1,2.545454545
The Economist,4/18/2023,-0.008,"5,018.70","5,076.16","5,105.06","5,011.89",1.92,-0.80%,1,1,1,4,3,3,4,1,1,2,1,2.454545455
The Economist,4/17/2023,-0.0066,"5,059.35","5,112.01","5,138.08","5,057.48",1.91,-0.66%,5,3,3,3,1,2,4,5,3,2,2,2.5
The Economist,4/14/2023,-0.0083,"5,092.88","5,143.38","5,176.58","5,092.88",2.07,-0.83%,1,1,1,4,3,3,4,1,1,2,1,2.5
The Economist,4/13/2023,-0.0021,"5,135.55","5,164.86","5,195.50","5,131.93",2.6,-0.21%,2,3,3,5,1,1,2,5,3,2,4,2.409090909
The Economist,4/12/2023,0.0043,"5,146.11","5,128.03","5,198.39","5,121.09",2.9,0.43%,5,1,1,4,3,4,4,1,1,1,1,2.590909091
The Economist,4/11/2023,0.0063,"5,124.25","5,110.78","5,143.53","5,082.05",3.05,0.63%,3,1,1,5,1,1,2,5,1,1,1,2.181818182
The Economist,4/10/2023,0.034,"5,092.31","4,956.02","5,102.42","4,956.02",2.46,3.40%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,4/7/2023,0.0024,"4,924.64","4,921.33","4,955.45","4,899.46",1.78,0.24%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,4/6/2023,-0.0014,"4,912.81","4,920.26","4,970.32","4,890.55",1.67,-0.14%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,4/5/2023,-0.0129,"4,919.87","4,997.01","5,028.81","4,919.87",2.21,-1.29%,1,1,1,1,1,1,1,5,2,1,1,1.727272727
The Economist,4/4/2023,0.0299,"4,984.11","4,842.42","4,988.55","4,830.55",2.27,2.99%,1,4,4,1,1,1,1,5,1,1,1,1.681818182
The Economist,4/3/2023,0.0055,"4,839.46","4,806.40","4,851.69","4,680.46",2.5,0.55%,1,1,1,4,3,3,4,1,1,2,1,1.954545455
The Economist,3/31/2023,-0.017,"4,812.93","4,876.23","4,881.75","4,790.68",2.58,-1.70%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,3/30/2023,-0.0095,"4,896.07","4,926.41","5,000.21","4,880.77",2.6,-0.95%,1,1,1,5,1,1,5,1,1,2,1,1.909090909
The Economist,3/29/2023,0.0274,"4,943.18","4,803.11","4,945.96","4,752.91",2.4,2.74%,2,5,5,4,1,1,2,5,1,2,1,2.227272727
The Economist,3/28/2023,-0.0373,"4,811.45","5,003.68","5,004.99","4,811.45",2.3,-3.73%,1,1,1,4,3,4,4,1,1,1,1,2.318181818
The Economist,3/27/2023,-0.0068,"4,997.80","5,064.79","5,074.03","4,997.80",1.99,-0.68%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,3/24/2023,-0.0059,"5,031.98","5,078.56","5,117.37","5,000.23",2.1,-0.59%,1,1,1,5,1,1,2,5,1,2,1,1.954545455
The Economist,3/23/2023,0.0122,"5,061.99","4,997.21","5,061.99","4,983.70",2.35,1.22%,1,2,2,3,1,5,5,5,1,1,1,2.181818182
The Economist,3/22/2023,0.0192,"5,001.06","4,931.72","5,001.06","4,890.90",2.31,1.92%,1,1,1,4,3,3,4,1,1,2,1,2.227272727
The Economist,3/21/2023,-0.0138,"4,906.63","4,986.26","5,019.89","4,890.44",2.72,-1.38%,1,1,1,4,3,4,4,1,1,1,1,2
The Economist,3/20/2023,-0.0313,"4,975.47","5,119.58","5,137.07","4,971.10",2.83,-3.13%,1,1,1,1,1,5,2,5,1,1,2,1.954545455
The Economist,3/17/2023,-0.0178,"5,136.44","5,277.70","5,291.94","5,136.44",2.93,-1.78%,1,1,1,4,3,3,4,1,1,2,1,1.954545455
The Economist,3/16/2023,0.0211,"5,229.58","5,155.49","5,230.70","5,129.83",2.41,2.11%,1,1,1,3,1,5,3,5,2,2,2,2.181818182
The Economist,3/15/2023,-0.0165,"5,121.57","5,224.40","5,239.45","5,065.31",3.41,-1.65%,1,1,1,5,1,1,5,5,1,1,1,2.227272727
The Economist,3/14/2023,-0.0218,"5,207.32","5,331.39","5,347.89","5,207.32",3.22,-2.18%,1,1,1,4,3,4,4,1,1,1,1,2.045454545
The Economist,3/13/2023,-0.0114,"5,323.19","5,414.87","5,429.33","5,283.02",3.35,-1.14%,5,1,1,4,3,4,4,1,1,1,1,2.181818182
The Economist,3/10/2023,-0.0113,"5,384.56","5,396.68","5,453.85","5,375.90",3.77,-1.13%,1,1,1,4,3,4,4,1,1,1,1,2.181818182
The Economist,3/9/2023,0.0014,"5,446.22","5,457.89","5,503.09","5,431.57",4.64,0.14%,1,2,2,1,1,5,5,5,1,2,1,2.181818182
The Economist,3/8/2023,0.0105,"5,438.38","5,378.88","5,442.24","5,341.18",4.28,1.05%,1,1,1,4,3,3,4,1,1,2,1,2.181818182
The Economist,3/7/2023,-0.0019,"5,381.90","5,438.61","5,497.81","5,377.36",4.19,-0.19%,1,5,5,1,1,5,4,5,1,2,1,2.409090909
The Economist,3/6/2023,0.0345,"5,392.31","5,244.17","5,428.34","5,221.93",4.32,3.45%,1,1,1,4,3,3,4,1,1,2,1,2.409090909
The Economist,3/3/2023,-0.0093,"5,212.38","5,244.71","5,298.39","5,054.44",3.75,-0.93%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,3/2/2023,-0.0115,"5,261.41","5,319.22","5,352.08","5,256.81",3.64,-1.15%,1,1,1,1,1,1,1,5,1,2,1,1.727272727
The Economist,3/1/2023,0.0163,"5,322.65","5,258.74","5,350.71","5,253.89",3.39,1.63%,1,1,1,1,1,2,2,5,2,2,1,1.590909091
The Economist,2/28/2023,0.0077,"5,237.33","5,229.30","5,265.69","5,180.25",3.65,0.77%,1,1,1,4,3,3,4,1,1,2,1,1.863636364
The Economist,2/27/2023,0.0274,"5,197.44","5,076.41","5,204.09","4,980.06",3.78,2.74%,1,2,2,4,1,1,2,5,1,1,1,1.954545455
The Economist,2/24/2023,-0.0054,"5,058.75","5,088.48","5,114.49","5,054.18",3.67,-0.54%,1,1,1,4,3,3,4,1,1,2,1,1.954545455
The Economist,2/23/2023,0.0029,"5,086.20","5,057.43","5,117.76","5,044.19",3.09,0.29%,1,1,1,1,1,1,2,5,2,2,2,1.863636364
The Economist,2/22/2023,-0.0151,"5,071.41","5,163.29","5,174.91","5,047.46",3,-1.51%,5,1,1,1,1,1,1,5,1,1,1,1.727272727
The Economist,2/21/2023,0.0001,"5,149.39","5,150.24","5,264.83","5,136.41",3.37,0.01%,1,1,1,4,3,3,4,1,1,2,1,1.863636364
The Economist,2/20/2023,0.0243,"5,148.93","5,051.64","5,173.44","5,014.44",2.8,2.43%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,2/17/2023,0.0036,"5,026.83","4,937.65","5,081.81","4,897.37",2.36,0.36%,1,1,1,4,3,3,4,1,1,2,1,2
